Dataset Name	Image Name	Organism	Organism Term Source REF	Strain	Reporter	Genotype	Developmental Stage	Developmental Stage Comments	Material Type	Growth Condition	Phenotype Name	Phenotype Description	Phenotype Source Type	Phenotype Term Source REF	Phenotype Term Name	Phenotype Term Accession	Channels	Image File Type	Image Dimensions (XYZCT)	Image Plane	Image Section	Image File Comments
Embryo1	SPM00_TM000000_CM00_CM01_CHN00.klb	Mus musculus	NCBITaxon 10090	129S&CD1	CAG-tdTomato-2A-H2B-EGFP	Tg/+	E6.5 to E8.5	"early-streak, bud stage, 8-10 somite"	Whole embryo	Embryo cultured for 2 days			Manual	OBO			H2B-eGFP	KLB	"2169,2048,988,1,1"			Time point  0
Embryo1	SPM00_TM000001_CM00_CM01_CHN00.klb	Mus musculus	NCBITaxon 10090	129S&CD1	CAG-tdTomato-2A-H2B-EGFP	Tg/+	E6.5 to E8.5	"early-streak, bud stage, 8-10 somite"	Whole embryo	Embryo cultured for 2 days			Manual	OBO			H2B-eGFP	KLB	"2169,2048,988,1,1"			Time point  1
Embryo1	SPM00_TM000002_CM00_CM01_CHN00.klb	Mus musculus	NCBITaxon 10090	129S&CD1	CAG-tdTomato-2A-H2B-EGFP	Tg/+	E6.5 to E8.5	"early-streak, bud stage, 8-10 somite"	Whole embryo	Embryo cultured for 2 days			Manual	OBO			H2B-eGFP	KLB	"2169,2048,988,1,1"			Time point  2
Embryo1	SPM00_TM000003_CM00_CM01_CHN00.klb	Mus musculus	NCBITaxon 10090	129S&CD1	CAG-tdTomato-2A-H2B-EGFP	Tg/+	E6.5 to E8.5	"early-streak, bud stage, 8-10 somite"	Whole embryo	Embryo cultured for 2 days			Manual	OBO			H2B-eGFP	KLB	"2169,2048,988,1,1"			Time point  3
Embryo1	SPM00_TM000004_CM00_CM01_CHN00.klb	Mus musculus	NCBITaxon 10090	129S&CD1	CAG-tdTomato-2A-H2B-EGFP	Tg/+	E6.5 to E8.5	"early-streak, bud stage, 8-10 somite"	Whole embryo	Embryo cultured for 2 days			Manual	OBO			H2B-eGFP	KLB	"2169,2048,988,1,1"			Time point  4
Embryo1	SPM00_TM000005_CM00_CM01_CHN00.klb	Mus musculus	NCBITaxon 10090	129S&CD1	CAG-tdTomato-2A-H2B-EGFP	Tg/+	E6.5 to E8.5	"early-streak, bud stage, 8-10 somite"	Whole embryo	Embryo cultured for 2 days			Manual	OBO			H2B-eGFP	KLB	"2169,2048,988,1,1"			Time point  5
Embryo1	SPM00_TM000006_CM00_CM01_CHN00.klb	Mus musculus	NCBITaxon 10090	129S&CD1	CAG-tdTomato-2A-H2B-EGFP	Tg/+	E6.5 to E8.5	"early-streak, bud stage, 8-10 somite"	Whole embryo	Embryo cultured for 2 days			Manual	OBO			H2B-eGFP	KLB	"2169,2048,988,1,1"			Time point  6
Embryo1	SPM00_TM000007_CM00_CM01_CHN00.klb	Mus musculus	NCBITaxon 10090	129S&CD1	CAG-tdTomato-2A-H2B-EGFP	Tg/+	E6.5 to E8.5	"early-streak, bud stage, 8-10 somite"	Whole embryo	Embryo cultured for 2 days			Manual	OBO			H2B-eGFP	KLB	"2169,2048,988,1,1"			Time point  7
Embryo1	SPM00_TM000008_CM00_CM01_CHN00.klb	Mus musculus	NCBITaxon 10090	129S&CD1	CAG-tdTomato-2A-H2B-EGFP	Tg/+	E6.5 to E8.5	"early-streak, bud stage, 8-10 somite"	Whole embryo	Embryo cultured for 2 days			Manual	OBO			H2B-eGFP	KLB	"2169,2048,988,1,1"			Time point  8
Embryo1	SPM00_TM000009_CM00_CM01_CHN00.klb	Mus musculus	NCBITaxon 10090	129S&CD1	CAG-tdTomato-2A-H2B-EGFP	Tg/+	E6.5 to E8.5	"early-streak, bud stage, 8-10 somite"	Whole embryo	Embryo cultured for 2 days			Manual	OBO			H2B-eGFP	KLB	"2169,2048,988,1,1"			Time point  9
Embryo1	SPM00_TM000010_CM00_CM01_CHN00.klb	Mus musculus	NCBITaxon 10090	129S&CD1	CAG-tdTomato-2A-H2B-EGFP	Tg/+	E6.5 to E8.5	"early-streak, bud stage, 8-10 somite"	Whole embryo	Embryo cultured for 2 days			Manual	OBO			H2B-eGFP	KLB	"2169,2048,988,1,1"			Time point  10
Embryo1	SPM00_TM000011_CM00_CM01_CHN00.klb	Mus musculus	NCBITaxon 10090	129S&CD1	CAG-tdTomato-2A-H2B-EGFP	Tg/+	E6.5 to E8.5	"early-streak, bud stage, 8-10 somite"	Whole embryo	Embryo cultured for 2 days			Manual	OBO			H2B-eGFP	KLB	"2169,2048,988,1,1"			Time point  11
Embryo1	SPM00_TM000012_CM00_CM01_CHN00.klb	Mus musculus	NCBITaxon 10090	129S&CD1	CAG-tdTomato-2A-H2B-EGFP	Tg/+	E6.5 to E8.5	"early-streak, bud stage, 8-10 somite"	Whole embryo	Embryo cultured for 2 days			Manual	OBO			H2B-eGFP	KLB	"2169,2048,988,1,1"			Time point  12
Embryo1	SPM00_TM000013_CM00_CM01_CHN00.klb	Mus musculus	NCBITaxon 10090	129S&CD1	CAG-tdTomato-2A-H2B-EGFP	Tg/+	E6.5 to E8.5	"early-streak, bud stage, 8-10 somite"	Whole embryo	Embryo cultured for 2 days			Manual	OBO			H2B-eGFP	KLB	"2169,2048,988,1,1"			Time point  13
Embryo1	SPM00_TM000014_CM00_CM01_CHN00.klb	Mus musculus	NCBITaxon 10090	129S&CD1	CAG-tdTomato-2A-H2B-EGFP	Tg/+	E6.5 to E8.5	"early-streak, bud stage, 8-10 somite"	Whole embryo	Embryo cultured for 2 days			Manual	OBO			H2B-eGFP	KLB	"2169,2048,988,1,1"			Time point  14
Embryo1	SPM00_TM000015_CM00_CM01_CHN00.klb	Mus musculus	NCBITaxon 10090	129S&CD1	CAG-tdTomato-2A-H2B-EGFP	Tg/+	E6.5 to E8.5	"early-streak, bud stage, 8-10 somite"	Whole embryo	Embryo cultured for 2 days			Manual	OBO			H2B-eGFP	KLB	"2169,2048,988,1,1"			Time point  15
Embryo1	SPM00_TM000016_CM00_CM01_CHN00.klb	Mus musculus	NCBITaxon 10090	129S&CD1	CAG-tdTomato-2A-H2B-EGFP	Tg/+	E6.5 to E8.5	"early-streak, bud stage, 8-10 somite"	Whole embryo	Embryo cultured for 2 days			Manual	OBO			H2B-eGFP	KLB	"2169,2048,988,1,1"			Time point  16
Embryo1	SPM00_TM000017_CM00_CM01_CHN00.klb	Mus musculus	NCBITaxon 10090	129S&CD1	CAG-tdTomato-2A-H2B-EGFP	Tg/+	E6.5 to E8.5	"early-streak, bud stage, 8-10 somite"	Whole embryo	Embryo cultured for 2 days			Manual	OBO			H2B-eGFP	KLB	"2169,2048,988,1,1"			Time point  17
Embryo1	SPM00_TM000018_CM00_CM01_CHN00.klb	Mus musculus	NCBITaxon 10090	129S&CD1	CAG-tdTomato-2A-H2B-EGFP	Tg/+	E6.5 to E8.5	"early-streak, bud stage, 8-10 somite"	Whole embryo	Embryo cultured for 2 days			Manual	OBO			H2B-eGFP	KLB	"2169,2048,988,1,1"			Time point  18
